href,tag,title,preview_text,date,views,full_text
https://tv-karelia.ru/v-karelii-16-letnij-podrostok-obokral-pensionera/,Происшествия,В Карелии 16-летний подросток обокрал квартиру пенсионера,Обвиняемый полностью признал свою вину.,27.11.2023,222 ,"
В Карелии завершено расследование уголовного дела в отношении 16-летнего подростка. Об этом сообщает пресс-служба Следкома республики.
По данным следствия, в июле 2023 года обвиняемый, находясь во дворе жилого дома в поселке Ладва Прионежского района, заметил открытый оконный проем в одной из квартир на первом этаже. Обвиняемый проник через окно в квартиру и похитил деньги, принадлежащие пенсионеру, на сумму 12 900 рублей.
В кратчайшие сроки следователи задержали несовершеннолетнего. Установлено, что ранее он дважды привлекался к уголовной ответственности за аналогичные преступления, в момент совершения преступления отбывал наказание условно.
На допросе у следователя обвиняемый полностью признал вину. Его родители частично возместили причиненный пенсионеру ущерб.
Напомним, что за совершение кражи наступает уголовная ответственность с 14-летнего возраста, максимальное наказание предусмотрено в виде лишения свободы.
Фото: ГТРК Карелия
"
https://tv-karelia.ru/v-karelii-vozbuzhdeno-ugolovnoe-delo-v-otnoshenii-direktora-upravlyayushhej-kompanii/,Происшествия,В Карелии возбуждено уголовное дело в отношении директора управляющей компании,Ее подозревают в мошенничестве.,27.11.2023,962 ,"
В Карелии возбуждено уголовное дело в отношении директора управляющей компании. Об этом сообщает пресс-служба Следкома республики.
Следствием установлено, что директор управляющей компании по обслуживанию многоквартирного дома в городе Медвежьегорске, незаконно начисляла и взимала плату с жильцов дома за услуги по содержанию и ремонту общего имущества, которые фактически не оказывала.
В дальнейшем, когда у жильцов образовалась задолженность по незаконным начислениям, подозреваемая обратилась в суд для решения вопроса о взыскании долга в судебном порядке, предоставив судье сфальцифицированные документы.
Получив судебный приказ, подозреваемая направила его в территориальное отделение судебных приставов, где на основании возбужденного исполнительного производства с собственников дома были списаны денежные средства.
Возбуждено уголовное дело в отношении директора управляющей компании по признакам преступлений, предусмотренных ч. 3 ст. 159 (мошенничество, то есть хищение чужого имущества, путем обмана, совершенное лицом с использованием своего служебного положения) и ч. 1 ст. 303 УК РФ (фальсификация доказательств по гражданскому делу лицом, участвующим в деле).
Фото: ГТРК «Карелия»
"
https://tv-karelia.ru/prognoz-pogody-po-karelii-na-28-noyabrya/,Погода,Прогноз погоды по Карелии на 28 ноября,Атмосферное давление в Петрозаводске будет расти и составит 745 мм рт. ст.,27.11.2023,582 ,"
Прогноз погоды по Петрозаводску и городам Карелии на 28.11.2023 по данным центра «Фобос».
Ночью в республике облачно, снег, временами сильный. Днем также облачно, снег, временами сильный. Ветер восточный 5-10 м/c.
Атмосферное давление в Петрозаводске будет расти и составит 745 мм рт. ст.
Солнечная активность умеренная, геомагнитное поле слабо возмущенное.

"
https://tv-karelia.ru/mchs-karelii-preduprezhdaet-ob-uhudshenii-pogodnyh-uslovij/,Погода,МЧС Карелии предупреждает об ухудшении погодных условий,"В большинстве районов метели, на дорогах сложная обстановка.",27.11.2023,313 ,"
Вечером 27 ноября на юге республики, 28 ноября на большей части Карелии и 29 ноября на севере республики ожидается сильный снег. Об этом сообщает пресс-служба МЧС республики.
«В течение суток 28 ноября и ночью 29 ноября местами порывы северо-восточного, восточного ветра 15-18 м/с, на акваториях и прибрежных районах крупных водоемов до 20-24 м/с. В большинстве районов метели, на дорогах сложная обстановка», — пишет ведомство.
Под действие неблагоприятного явления могут попасть 2 городских округа, 1 муниципальный округ и 15 муниципальных районов: Петрозаводский и Костомукшский ГО, Суоярвский МО, Беломорский, Калевальский, Кемский, Кондопожский, Лахденпохский, Лоухский, Медвежьегорский, Муезерский, Олонецкий, Питкярантский, Прионежский, Пряжинский, Пудожский, Сегежский, Сортавальский муниципальные районы.
Также МЧС дал общие рекомендации:

не приближаться к проводам, провисшим низко над землей;
не рубить самостоятельно деревья, упавшие на провода; рубку насаждений вблизи проводов можно производить только после отключения линий электропередач;
не оставлять транспортные средства, не находиться вблизи слабо укрепленных конструкций, элементов кровли и больших деревьев, которые могут сломаться под тяжестью снега;
ограничить поездки на личном автотранспорте;
при движении во время гололедицы строго соблюдайте необходимую дистанцию (она должна быть в два-три раза больше, чем в летнее время);
при выезде на личном автотранспорте убедиться в достаточности топлива на транспортном средстве, наличия инструмента (лопата, трос, буксировочное устройство), достаточности зарядки аккумуляторов сотовых телефонов, наличия номеров экстренных служб, источников дополнительного освещения (фонарик) и их исправность;
ограничить нахождение детей на улице, а при необходимости под контролем взрослых;
ограничить движение по пешеходным подвесным мостам.


"
https://tv-karelia.ru/a-chto-u-vas-zhitelnicza-belomorska-snyala-malenkogo-tyulenya-spyashhego-na-ldu-v-czentre-goroda/,А что у вас? Карелия,"«А что у вас?» Жительница Беломорска сняла маленького тюленя, спящего на льду в центре города...","Жительница Беломорска Татьяна Каньшиева сняла маленького тюленя, спящего на льду в центре города",27.11.2023,274 ,"
Продолжаем знакомить вас с участниками проекта «А что у вас? Лучшие новости Карелии». Утром с Октябрьского моста, где река Выг впадает в Белое море, жительница Беломорска Татьяна Каньшиева сняла маленького тюленя, спящего на льду в центре города.
«Сходила домой за фотоаппаратом, зная их повадки в надежде, что малыш поспит и подождёт меня. Когда вернулась, тюлень спал, шум проходящих машин разбудил его, лёг поудобнее и уснул снова. Вечером снова пошла на мост посмотреть тюленя. Спал, но вскоре махнул ластой, нырнул и был таков! Мол, не поминайте лихом. Выспался на льду в центре города», — рассказала Татьяна Каньшиева.

"
https://tv-karelia.ru/v-petrozavodske-otkryli-art-obekt-lyzhniki/,Спорт,В Петрозаводске открыли арт-объект «Лыжники»,Арт-объект по мотивам беломорских петроглифов установили в самом начале трассы «Фонтаны».,27.11.2023,214 ,"
На трассе «Фонтаны» открыли арт-объект «Лыжники» по мотивам беломорских петроглифов, сообщает  Центр спортивной подготовки.
Арт-объект установили в самом начале трассы «Фонтаны» по инициативе некоммерческой организации «Центр событий» в рамках проекта «Петроглифы — достояние Карелии» с использованием гранта главы республики. Автором работы стал архитектор Александр Ким.
Как пояснил Александр Ким, сам он родом из Беломорска, и созданный им арт-объект навеян сценами беломорских петроглифов. Круг, в котором находятся древние лыжники, символизирует солнце, а весь проект скульптор назвал «взглядом из прошлого».
3 декабря в Петрозаводске стартует очередной городской фестиваль «Зимние фонтаны – 2024».
Фото: Центр спортивной подготовки / vk.com/csp_ptz
"
https://tv-karelia.ru/zhitel-karelii-ukral-neskolko-stolbov-dorozhnogo-ograzhdeniya/,Происшествия,Житель Карелии украл несколько столбов дорожного ограждения,Теперь мужчине грозит до двух лет лишения свободы за тайное хищение чужого имущества.,27.11.2023,375 ,"
Автомобиль с прицепом остановили полицейские на автодороге «Войница – Вокнаволок – Костомукша». В прицепе обнаружились 140 метров стального троса и 5 столбов дорожного ограждения общей стоимостью 11 200 рублей, сообщает МВД Карелии.
Находившийся за рулем 49-летний местный житель сказал, что везет имущество в пункт приема металлолома. Однако оказалось, что эти предметы принадлежат организации по управлению автомобильных дорог в республике.
В отделе полиции подозреваемый признался в краже. Он рассказал, что ночью похитил столбы и трос и планировал их сдать, чтобы подзаработать.
Возбуждено уголовное дело.
Фото: ГТРК Карелия
"
https://tv-karelia.ru/2024-god-v-rossii-obyavlen-godom-semi/,Общество,2024 год в России объявлен Годом семьи,Указ подписал Владимир Путин.,27.11.2023,285 ,"
Следующий год в России будет Годом семьи. Такое решение утвердил Президент страны Владимир Путин.
Сохранение и поддержка семьи — одни из главных приоритетов государственной политики в России. Особенное внимание уделяют многодетным семьям. Это подтверждает большое количество мер поддержки, принятых на федеральном и региональном уровнях, сообщает администрация карельской столицы.
«У нас в семье трое детей, поэтому помощь, которую оказывает государство, является для нас большим подспорьем. Мы получаем ежемесячное пособие, которое очень влияет на бюджет семьи. Хотим сказать большое спасибо за такую поддержку и возможности для многодетных семей», — цитирует мэрия многодетную семью Егоровых из Петрозаводска.
Фото: ГТРК Карелия
"
https://tv-karelia.ru/petrozavodchan-priglashayut-prisoedinitsya-k-mezhdunarodnoj-akczii-protiv-nasiliya-v-otnoshenii-zhenshhin/,Общество,Петрозаводчан приглашают присоединиться к международной акции против насилия в отношении женщин...,Желающие могут поучаствовать в анонимном опросе и психологическом тренинге.,27.11.2023,180 ,"
Петрозаводчан приглашают присоединиться к международной кампании «16 дней против насилия в отношении женщин», сообщает Администрация карельской столицы. Акция проходит с 25 ноября по 10 декабря. В эти дни комплексный центр соцобслуживания Карелии проводит различные мероприятия.
Так, для студентов городских техникумов и вузов организуют занятия в «Точке кипения». Им расскажут, как не стать жертвой насилия и куда обращаться за помощью.
8 декабря в кризисном отделении для граждан, находящихся в трудной ситуации, состоится психологический тренинг для женщин «Моё пространство. Мои границы».
Кроме того, комплексный центр проводит анонимный опрос о проблеме семейного насилия. Желающие могут пройти его по ссылке. Все полученные данные будут использованы только в обобщенном виде.
Записаться на тренинг, а также на бесплатные консультации психолога и юриста можно по телефонам: 77-30-52 или 8 (953) 549-24-48.

"
https://tv-karelia.ru/10-mesyachnyj-rebenok-postradal-v-dtp-na-trasse-v-karelii/,Происшествия,10-месячный ребенок пострадал в ДТП на трассе в Карелии,Дорожная авария произошла вблизи поселка Янишполе в Кондопожском районе.,27.11.2023,1043 ,"
В минувшую пятницу, 24 ноября, около 11 утра вблизи поселка Янишполе Кондопожского района произошло ДТП.
Как рассказали в ГИБДД Карелии, водитель Chevrolet Lacetti после завершения обгона не справилась с управлением и съехала в правый кювет, после чего автомобиль опрокинулся.
В ДТП получил телесные повреждения 10-месячный ребенок, который находился в салоне автомобиля. Его осмотрели врачи и отпустили с мамой домой.

"
